Name,Role,Runs,Highest,Average,Batting_strike_rate,Fifties,Fours,Sixes
Ruturaj Gaikwad,BATSMAN,204,72,51,120.71,3,16,6
KL Rahul,BATSMAN,2647,132,44.86,135.81,21,234,104
David Warner,BATSMAN,5254,126,42.72,141.54,48,511,194
Jonny Bairstow,BATSMAN,790,114,41.58,142.34,5,79,31
Chris Gayle,BATSMAN,4772,175,41.14,150.11,31,384,349
MS Dhoni,BATSMAN,4632,84,40.99,136.76,23,313,216
AB de Villiers,BATSMAN,4849,133,40.41,151.91,38,390,235
Kane Williamson,BATSMAN,1619,89,39.49,134.8,15,136,54
Virat Kohli,BATSMAN,5878,113,38.17,130.74,39,503,201
Steven Smith,BATSMAN,2333,101,35.35,129.25,11,212,58
Rishabh Pant,BATSMAN,2079,128,35.24,151.97,12,183,103
Jos Buttler,BATSMAN,1714,95,34.98,149.56,11,167,77
Shikhar Dhawan,BATSMAN,5196,106,34.18,126.86,41,591,108
Chris Lynn,BATSMAN,1280,93,33.68,140.66,10,128,63
David Miller,BATSMAN,1850,101,33.64,138.78,9,126,87
Shubman Gill,BATSMAN,939,76,33.54,125.2,7,87,24
Suresh Raina,BATSMAN,5368,100,33.34,137.11,38,493,194
Faf du Plessis,BATSMAN,2302,96,32.89,129.25,16,205,73
Nicholas Pooran,BATSMAN,521,77,32.56,165.4,2,32,39
Mitchell Santner,BATSMAN,32,22,32,139.13,0,0,3
Ajinkya Rahane,BATSMAN,3933,105,31.72,121.39,28,416,76
Quinton de Kock,BATSMAN,1959,108,31.6,133.54,14,201,76
Devdutt Padikkal,BATSMAN,473,74,31.53,124.8,5,51,8
Shreyas Iyer,BATSMAN,2200,96,31.43,126.07,16,189,83
Rohit Sharma,BATSMAN,5230,109,31.32,130.62,39,458,213
Rahul Tewatia,BATSMAN,366,53,30.5,134.56,1,24,20
Suryakumar Yadav,BATSMAN,2024,79,30.21,134.57,11,221,58
Hardik Pandya,BATSMAN,1349,91,29.98,159.27,4,86,93
Kieron Pollard,BATSMAN,3023,83,29.93,149.88,15,196,198
Andre Russell,BATSMAN,1517,88,29.75,182.33,8,105,129
Vijay Shankar,BATSMAN,654,63,29.73,127.73,3,44,25
Manish Pandey,BATSMAN,3268,114,29.71,121.67,18,287,93
Ambati Rayudu,BATSMAN,3659,100,29.51,126.09,19,308,132
Ishan Kishan,BATSMAN,1211,99,28.83,136.84,7,100,64
Moises Henriques,BATSMAN,969,74,28.5,128.17,5,87,27
Marcus Stoinis,BATSMAN,825,65,28.45,137.27,4,65,34
Robin Uthappa,BATSMAN,4607,87,27.92,129.99,24,454,163
Sanju Samson,BATSMAN,2584,102,27.78,133.75,13,191,115
Nitish Rana,BATSMAN,1437,87,27.63,135.57,11,127,72
Saurabh Tiwary,BATSMAN,1379,61,27.58,120.23,7,101,48
Tom Curran,BATSMAN,106,54,26.5,117.78,1,8,3
Ben Stokes,BATSMAN,920,107,26.29,135.1,2,79,32
Dinesh Karthik,BATSMAN,3823,97,26.01,129.64,19,377,105
Sarfaraz Khan,BATSMAN,441,67,25.94,140,1,50,11
Wriddhiman Saha,BATSMAN,1979,115,25.7,132.02,8,184,64
Eoin Morgan,BATSMAN,1272,68,25.44,126.32,5,104,58
Ravindra Jadeja,BATSMAN,2159,50,25.4,126.55,1,157,76
Rahul Tripathi,BATSMAN,988,93,25.33,134.79,5,95,37
Krunal Pandya,BATSMAN,1000,86,24.39,142.45,1,95,40
Karun Nair,BATSMAN,1480,83,24.26,128.36,10,160,39
Chris Morris,BATSMAN,551,82,23.96,157.88,2,39,30
Manan Vohra,BATSMAN,1012,95,23.53,131.77,3,97,39
