Name,Role,Wickets,Economy,Bowling_Average,Bowling_strike_rate
Basil Thampi,BOWLER,17,9.8,40.82,25
Mitchell Santner,BOWLER,6,7,24.5,21
Rahul Tewatia,BOWLER,24,7.13,28.33,23.83
Hardik Pandya,BOWLER,42,9.07,31.26,20.69
Kieron Pollard,BOWLER,60,8.88,32.67,22.08
Andre Russell,BOWLER,61,8.96,28.08,18.8
Vijay Shankar,BOWLER,6,8.43,38.17,27.17
Moises Henriques,BOWLER,38,8.39,32.74,23.42
Marcus Stoinis,BOWLER,28,9.38,30.43,19.46
Jagadeesha Suchith,BOWLER,12,8.8,33,22.5
Tom Curran,BOWLER,9,11.51,36.22,18.89
Ben Stokes,BOWLER,28,8.53,34.36,24.18
Ravindra Jadeja,BOWLER,114,7.67,30.44,23.8
Krunal Pandya,BOWLER,46,7.27,32.78,27.07
Chris Morris,BOWLER,80,7.81,23.99,18.43
Sam Curran,BOWLER,23,8.89,29,19.57
Kedar Jadhav,BOWLER,0,0,0,0
Dwayne Bravo,BOWLER,153,8.41,24.82,17.72
Glenn Maxwell,BOWLER,19,8.57,41.05,28.74
Ben Cutting,BOWLER,10,9.16,42.9,28.1
Shakib Al Hasan,BOWLER,59,7.46,28,22.51
Moeen Ali,BOWLER,10,7.14,30.8,25.9
Axar Patel,BOWLER,80,7.3,30.7,25.24
Abhishek Sharma,BOWLER,3,9.33,37.33,24
Mahipal Lomror,BOWLER,0,9,0,0
Mitchell Marsh,BOWLER,20,7.9,21,15.95
Pat Cummins,BOWLER,29,8.1,31.31,23.21
Daniel Christian,BOWLER,34,7.95,30.5,23.03
Washington Sundar,BOWLER,24,6.87,31.21,27.25
Shivam Dube,BOWLER,4,7.59,20.25,16
Deepak Hooda,BOWLER,7,8.44,46,32.71
Sunil Narine,BOWLER,127,6.78,24.78,21.93
Mohammad Nabi,BOWLER,11,6.55,29.27,26.82
Karn Sharma,BOWLER,59,7.91,27.29,20.71
Harbhajan Singh,BOWLER,150,7.05,26.45,22.49
Jofra Archer,BOWLER,46,7.13,21.33,17.93
Jason Holder,BOWLER,19,8.42,28.37,20.21
Navdeep Saini,BOWLER,17,8.28,45.65,33.06
Krishnappa Gowtham,BOWLER,13,8.26,43.23,31.38
Pawan Negi,BOWLER,34,7.87,27.62,21.06
Jasprit Bumrah,BOWLER,109,7.42,23.73,19.19
Shreyas Gopal,BOWLER,48,7.85,24.23,18.52
Kagiso Rabada,BOWLER,61,8.24,18.1,13.18
James Neesham,BOWLER,3,9.96,79.67,48
Kane Richardson,BOWLER,18,8.38,24.61,17.61
Piyush Chawla,BOWLER,156,7.87,27.33,20.83
Amit Mishra,BOWLER,160,7.34,24.17,19.76
Dhawal Kulkarni,BOWLER,86,8.26,28.21,20.5
Mohammed Siraj,BOWLER,39,9.08,27.79,18.36
Deepak Chahar,BOWLER,45,7.63,28.24,22.22
Ravichandran Ashwin,BOWLER,138,6.87,26.81,23.41
Chris Woakes,BOWLER,25,9.24,23.04,14.96
Andrew Tye,BOWLER,40,8.47,21.8,15.45
Harshal Patel,BOWLER,46,8.74,29.33,20.13
Harshal Patel,BOWLER,46,8.74,29.33,20.13
Kuldeep Yadav,BOWLER,40,8.28,30.9,22.4
Ishant Sharma,BOWLER,71,8.12,36.68,27.11
Jaydev Unadkat,BOWLER,81,8.83,29.88,20.3
Mayank Markande,BOWLER,16,8.54,26.69,18.75
Sandeep Sharma,BOWLER,109,7.72,24.28,18.87
Umesh Yadav,BOWLER,119,8.51,30.08,21.19
Rashid Khan,BOWLER,75,6.25,20.49,19.68
Rahul Chahar,BOWLER,30,7.47,26.63,21.4
Imran Tahir,BOWLER,80,7.83,21.09,16.15
KC Cariappa,BOWLER,8,9.67,43.5,27
Shardul Thakur,BOWLER,46,8.92,29.13,19.59
Nathan Coulter-Nile,BOWLER,41,7.72,22.56,17.54
